1403636580863555328,-0.00696,0.01346,-0.10587,-0.03010,0.83599,0.03634,0.54672,0.08278,-0.00075,0.78132,
1403636580963555584,0.00057,0.01537,-0.02786,-0.02142,0.82770,0.03671,0.55955,0.06406,0.02654,0.74579,
1403636581063555584,0.00607,0.01803,0.04199,-0.02224,0.81983,0.03769,0.57093,0.05166,0.01686,0.65346,
1403636581163555328,0.01103,0.01827,0.10240,-0.02456,0.81161,0.03396,0.58270,0.03785,-0.00550,0.54244,
1403636581263555584,0.01276,0.01691,0.15040,-0.02744,0.80173,0.02976,0.59632,-0.00008,-0.01445,0.39563,
1403636581363555328,0.01137,0.01554,0.17682,-0.02736,0.79403,0.03009,0.60651,-0.02141,-0.01518,0.08838,
1403636581463555584,0.00909,0.01307,0.17142,-0.02143,0.79461,0.03245,0.60588,-0.02209,-0.02358,-0.26518,
1403636581563555584,0.00547,0.00998,0.13233,-0.01887,0.80131,0.03292,0.59704,-0.00972,-0.01147,-0.53335,
1403636581663555328,0.00424,0.00810,0.07319,-0.02182,0.80813,0.03142,0.58776,-0.00761,-0.02888,-0.63869,
1403636581763555584,0.00222,0.00483,0.00750,-0.02331,0.81103,0.03269,0.58362,-0.02678,-0.02464,-0.66823,
1403636581863555328,-0.00139,0.00365,-0.06025,-0.02697,0.81310,0.03460,0.58047,-0.05063,-0.00803,-0.67635,
1403636581963555584,-0.00822,0.00221,-0.12520,-0.02860,0.81976,0.03196,0.57111,-0.05591,0.00345,-0.61797,
1403636582063555584,-0.01222,0.00275,-0.18225,-0.02602,0.82935,0.02963,0.55734,-0.04777,0.01229,-0.48742,
1403636582163555328,-0.01631,0.00513,-0.22021,-0.02701,0.83806,0.03146,0.54401,-0.04212,0.02815,-0.23762,
1403636582263555584,-0.01777,0.00834,-0.22820,-0.02814,0.84317,0.03372,0.53584,0.00990,0.02492,0.10118,
1403636582363555328,-0.01589,0.01168,-0.20007,-0.03049,0.84246,0.03432,0.53680,0.02492,0.03978,0.43829,
1403636582463555584,-0.01297,0.01501,-0.14721,-0.03144,0.83486,0.03359,0.54853,0.04016,0.02633,0.59436,
1403636582563555584,-0.00857,0.01656,-0.08356,-0.02780,0.82855,0.03320,0.55824,0.04118,0.00830,0.65476,
1403636582663555328,-0.00479,0.01611,-0.01686,-0.02196,0.82562,0.03164,0.56291,0.02806,-0.00799,0.66136,
1403636582763555584,-0.00070,0.01390,0.04902,-0.02103,0.82249,0.02760,0.56772,0.04757,-0.03126,0.64923,
1403636582863555328,0.00404,0.00918,0.11356,-0.01809,0.81607,0.01888,0.57737,0.03681,-0.04483,0.62944,
1403636582963555584,0.00626,0.00461,0.17013,-0.01661,0.80636,0.01341,0.59103,0.00183,-0.03303,0.48291,
